Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
21570,Mature,Good,No,,87626,2978.6,38.5,687.6
3499,Mature,Fair,No,,12411.54,359.9,9.8,97.2
58179,Juvenile,Good,No,,172.61,,,
55878,Juvenile,Fair,No,,269.7,2.4,0.5,4.7
3852,Mature,Fair,No,,13126.91,333.3,8.9,238
7216,Mature,Good,No,,38067.82,1461.9,25.2,248.7
1417,Mature,Fair,No,,53170.26,2318.6,26.4,198.3
58008,Juvenile,Dead,No,,269.7,,,
38132,Mature,Fair,No,,3132.85,66.5,3.6,37.9
48293,Juvenile,Fair,No,,242.73,2.4,0.6,3.2
13428,Middle aged,Good,No,,13298.08,362.2,11.1,76
6122,Mature,Good,No,,22020.58,446.3,10.2,366.7
37339,Middle aged,Good,No,,1456.39,19.7,1.8,35.6
59941,,,No,,,,,
6418,Mature,Fair,No,,60916.56,315.2,10,203.8
50686,Middle aged,Good,No,,2454.88,28.7,2.5,12.6
1540,Middle aged,Fair,Yes,"Dead, dying",3806.03,79.5,3.9,49.7
20359,Mature,Fair,No,,15534.8,240.4,6.3,356.1
33201,Middle aged,Fair,No,,1941.85,20.2,1.8,31.7
813,Mature,Good,No,,20721.7,654.6,12.7,519
51631,Mature,Fair,No,,41771.36,1178.2,18.1,980
17352,Mature,Fair,No,,39147.71,1524.8,23,434.6
58080,Juvenile,Good,No,,115.07,,,
13880,Veteran,Poor,No,,3596.02,137.7,6.1,22
10010,Middle aged,Fair,No,,9346.77,296.4,8.7,88.5
54681,Mature,Good,No,,7767.4,203.1,7.5,191.4
45126,Juvenile,Good,No,,460.29,8.4,1.3,3.3
375,Mature,Good,No,,43523.33,2077,31,328.5
9733,Mature,Fair,No,,9330.6,203.8,7.1,297.6
18010,Mature,Fair,No,,17952.4,269.7,6.8,162.2
16865,Middle aged,Fair,No,,8223.74,160.6,6,216.7
5509,Mature,Fair,No,,6450.78,207.6,6.7,225.4
22678,Mature,Fair,No,,12411.54,379.5,10.1,39.3
12587,Middle aged,Fair,No,,6350.93,112.6,4.1,29.5
5898,Juvenile,Good,No,,239.74,2.4,0.6,3.5
59222,Juvenile,Good,No,,153.43,,,
9671,Mature,Fair,No,,27185.9,1083.9,18.9,787.8
3861,Mature,Fair,No,,14960.34,341.3,8.3,416.6
14289,Mature,Fair,No,,6450.78,192.3,7.6,35.1
51599,Middle aged,Fair,No,,1268.68,28.4,2.2,25.2
55549,Juvenile,Good,No,,863.04,7.4,0.7,39.1
56499,Juvenile,Good,No,,5286.15,,,
6050,Middle aged,Good,No,,5920.49,103.7,4.4,29.5
19210,Mature,Fair,No,,26287.26,601.2,10.7,164.9
34854,Middle aged,Good,No,,5898.38,95.2,4.2,101.2
56620,Juvenile,Good,No,,269.7,1.8,0.4,14.6
17168,Mature,Good,No,,107004.04,4302,38.1,1622.3
52281,Middle aged,Good,No,,863.04,2.3,0.6,3.2
8064,Middle aged,Good,No,,20227.61,661.8,15.9,460.3
5272,Mature,Fair,No,,12686.75,357.6,9.8,60.8
46999,Middle aged,Fair,No,,1215.46,23.8,2,21.4
508,Middle aged,Good,No,,4660.44,65.2,3.4,142.9
32297,Middle aged,Good,No,,4495.02,29.4,2.4,72.2
20398,Mature,Poor,Yes,Basal decay,5262.66,154.3,6,107.4
46909,Middle aged,Good,No,,1553.48,20.7,2.2,48.4
21064,Middle aged,Good,No,,5136.19,46.9,2.8,40.2
21833,Mature,Good,No,,18879.1,406.9,9.6,164.9
